TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170224163603,0,0,71,51,4.69,17,15
20170224163604,804,0,71,51,4.69,17,15
20170224163605,801,0,71,51,4.69,17,15
20170224163607,801,0,72,51,4.69,17,15
20170224163608,796,0,72,51,4.62,17,15
20170226115504,796,0,72,51,4.62,17,15
20170226115505,800,0,72,51,4.69,17,15
20170226115506,810,0,72,51,4.69,17,14
20170226115507,810,0,72,51,4.62,17,14
20170226115508,800,0,72,51,4.55,17,14
20170226115509,809,0,72,51,4.55,17,14
20170226115510,809,0,72,51,4.62,17,14
20170226115511,797,0,72,51,4.55,17,14
20170226115512,797,0,72,51,4.55,17,14
20170226115513,798,0,72,51,4.69,17,14
20170226115514,803,0,72,51,4.62,17,14
20170226115515,803,0,72,51,4.62,17,14
20170226115516,810,0,72,51,4.55,17,14
20170226115517,810,0,72,51,4.55,17,14
20170226115518,810,0,72,51,4.55,17,16
20170226115519,776,0,72,51,5.53,17,17
20170226115520,814,0,72,51,5.53,17,17
20170226115521,814,0,72,51,5.53,17,16
20170226115522,807,0,72,50,5.46,17,16
20170226115523,793,0,72,51,5.46,17,17
20170226115524,793,0,72,51,5.32,17,16
20170226115525,803,0,72,50,5.39,17,16
20170226115526,803,0,72,50,5.39,17,16
20170226115527,798,0,72,50,7.42,20,16
20170226115529,786,0,72,50,5.46,20,27
20170226115530,786,3,73,50,5.46,17,15
20170226115531,827,3,73,50,5.46,17,15
20170226115532,791,3,73,50,5.6000000000000005,17,17
20170226115533,791,2,73,50,5.6000000000000005,17,16
20170226115534,841,2,73,49,5.39,17,16
20170226115535,838,0,73,49,5.39,17,17
20170226115536,838,0,73,49,13.44,24,34
20170226115537,1184,0,73,51,16.38,25,34
20170226115538,1505,5,73,51,16.38,25,32
20170226115539,1505,5,73,51,12.46,22,18
20170226115540,1409,8,73,51,6.3,22,18
20170226115541,1409,11,73,50,6.3,17,16
20170226115542,840,11,73,50,5.46,17,16
20170226115543,833,7,73,50,5.39,17,16
20170226115544,833,4,73,49,5.39,17,31
20170226115545,1160,4,74,49,13.3,25,31
